ap,ep,sinip,astar,iz
2.8525,0.0504,0.0359,0.027,0
3.0763,0.1014,0.0491,-0.107,0.03
2.7149,0.1354,0.1191,-0.133,0.07
2.4193,0.2148,0.1101,0.112,-0.25
3.0045,0.0189,0.1859,-0.07,0.1
3.1961,0.138,0.0343,-0.169,-0.05
2.6021,0.1198,0.1144,-0.04,0.01
2.9942,0.0843,0.1884,0.054,0.1
2.9333,0.199,0.2959,0.17,-0.07
3.2075,0.1225,0.0785,-0.102,-0.05
2.6959,0.1029,0.1239,-0.003,0.05
2.7757,0.1914,0.1461,-0.093,0.02
3.1679,0.0619,0.1591,-0.058,0.05
2.3269,0.1047,0.1388,0.139,-0.06
3.1625,0.1096,0.2092,-0.013,0.01
3.0651,0.0664,0.1635,0.063,0.05
3.0087,0.0849,0.1112,-0.009,0.04
2.6072,0.1399,0.2242,0.112,-0.09
3.0677,0.2795,0.2121,0.027,0.09
3.0535,0.0663,0.1628,0.054,-0.02
2.2905,0.0432,0.0591,-0.093,0.04
2.8044,0.0342,0.065,0.184,0.04
3.1957,0.1625,0.2819,-0.062,0.15
3.0651,0.0664,0.1635,0.085,0.05
2.433,0.0345,0.249,-0.089,0.04
3.0437,0.0582,0.1727,0.032,0.04
2.6255,0.1558,0.2328,0.103,0
3.1689,0.0891,0.2906,0.107,0.19
2.7148,0.141,0.2057,-0.12,0
2.5827,0.0923,0.2427,0.112,-0.07
2.9975,0.0804,0.1961,0.081,0.06
2.6187,0.0665,0.2545,0.121,-0.03
2.9333,0.199,0.2959,0.188,-0.07
2.6714,0.1634,0.1988,-0.133,0.06
3.1391,0.1005,0.2227,0.005,0.05
3.1132,0.1944,0.2918,0.059,0.03
3.1354,0.1505,0.1719,-0.057,0.07
2.5445,0.2781,0.1387,0.121,-0.05
2.247,0.1714,0.0829,0.125,0.03
2.6336,0.1807,0.1631,-0.138,0.02
2.573,0.179,0.1354,0.152,-0.06
3.1722,0.017,0.2657,-0.08,0.05
2.908,0.1129,0.0341,0.054,-0.02
3.0533,0.2417,0.0603,-0.147,-0.06
2.773,0.1375,0.2188,-0.129,0.02
3.195,0.1506,0.2509,-0.111,0.11
2.5438,0.2613,0.2495,0.125,0.04
2.5893,0.0903,0.2529,0.121,-0.03
2.8443,0.044,0.1063,0.21,0
2.3214,0.1776,0.1836,0.174,-0.02
3.1222,0.1308,0.0812,-0.151,0.06
2.2407,0.1311,0.0816,0.125,0.01
3.0487,0.0608,0.2644,-0.08,0.06
2.3655,0.0556,0.0503,0.161,0.04
2.5833,0.1427,0.1013,0.059,0.13
3.0134,0.0933,0.1625,0.018,0.05
2.8523,0.1571,0.2068,0.165,-0.01
3.0899,0.1829,0.2829,0.085,0.03
2.5931,0.2131,0.2552,0.152,0.02
2.7026,0.1519,0.2292,0.098,0
2.5819,0.1548,0.0533,0.192,0.01
3.1729,0.0679,0.1632,-0.098,0.05
2.5318,0.1177,0.0356,0.156,0.02
3.0558,0.0757,0.1707,0.09,0
3.0755,0.0329,0.2163,-0.124,0.08
2.3711,0.123,0.1158,0.174,-0.36
3.0947,0.1427,0.1457,-0.044,0.08
2.9259,0.0964,0.2918,0.022,0.1
2.7026,0.2041,0.1186,-0.071,-0.02
2.5533,0.1508,0.137,0.045,-0.03
3.0287,0.1315,0.2078,-0.094,0.07
2.8413,0.0491,0.0362,0.13,0
3.2004,0.168,0.0198,-0.16,0
3.0949,0.0966,0.1735,0.072,0.05
3.2132,0.1689,0.0197,-0.102,-0.03
2.3152,0.1751,0.1047,0.077,-0.04
2.5694,0.1771,0.2357,0.161,0
3.3667,0.0544,0.2503,0.33,-0.06
2.557,0.1394,0.2307,0.076,0.05
2.4047,0.1733,0.2225,-0.08,0.19
2.6169,0.1188,0.1714,0.13,0
2.9119,0.0607,0.1501,0.17,0.1
2.657,0.1739,0.2647,-0.058,0.06
3.0568,0.0576,0.1816,0.032,-0.01
2.9667,0.0774,0.1572,0.098,0.01
3.065,0.1505,0.0228,-0.098,0.01
2.6524,0.1204,0.2456,-0.12,0.15
2.3837,0.1267,0.0724,0.085,-0.18
2.6593,0.1762,0.2336,0.01,0.05
2.7913,0.0983,0.1811,0.121,-0.02
2.6508,0.1682,0.2032,-0.125,0.06
3.3893,0.0792,0.2632,-0.062,0.04
3.1436,0.0679,0.2333,-0.098,0.03
2.4481,0.1274,0.113,0.139,-0.2
2.374,0.1013,0.1137,0.134,-0.21
2.8872,0.1013,0.2325,0.134,-0.05
3.0569,0.0926,0.174,0.014,0.06
2.2689,0.0797,0.0696,-0.009,0.02
3.1662,0.0646,0.2398,-0.111,0
3.0013,0.0762,0.1721,0.103,0.06
2.9855,0.0356,0.0251,0.121,0
2.1895,0.1434,0.0657,0.157,-0.06
2.4226,0.1078,0.2459,0.04,-0.08
3.129,0.1345,0.1881,-0.124,-0.07
2.5739,0.158,0.2474,0.09,0.05
3.0123,0.0716,0.0859,0.032,0.03
2.3834,0.0453,0.0758,0.152,-0.04
3.1248,0.154,0.0215,-0.044,-0.01
3.4319,0.0851,0.1545,0.09,0.1
2.606,0.1224,0.2294,0.09,-0.18
3.0738,0.0683,0.1743,0.085,-0.03
3.2007,0.1959,0.2537,-0.013,0.13
3.0142,0.0834,0.1821,0.103,0.02
2.7482,0.1879,0.1553,0.183,-0.05
2.6516,0.075,0.078,0.009,0
3.0568,0.1222,0.1921,0.005,0.02
2.8969,0.0616,0.0397,0.085,0.01
3.098,0.1592,0.0315,-0.085,0.05
2.7684,0.0685,0.0734,0.116,0.04
2.6099,0.1631,0.23,0.138,-0.08
3.199,0.2357,0.0825,-0.133,0.01
2.2281,0.1348,0.1033,0.17,0.02
3.1764,0.1658,0.196,-0.057,0.1
2.9746,0.0908,0.1837,0.014,0.08
2.2745,0.1125,0.143,0.148,0.08
2.3526,0.1111,0.1135,0.179,-0.41
3.1002,0.0816,0.1607,0.014,0.11
3.0084,0.0746,0.1754,0.049,0.02
3.0487,0.0608,0.2644,-0.067,0
2.5467,0.1127,0.0923,0.112,-0.09
3.1629,0.1496,0.0254,-0.062,0.01
2.4515,0.1492,0.0269,-0.165,-0.01
3.101,0.1684,0.0279,-0.134,0
2.7587,0.0882,0.085,-0.058,0.01
2.6484,0.1494,0.2118,0.089,0.04
3.2171,0.1213,0.2076,-0.066,0.13
2.1731,0.1606,0.0959,0.188,-0.04
2.2532,0.1408,0.0554,0.156,-0.01
3.1448,0.1387,0.0992,-0.2,0.03
2.5893,0.0903,0.2529,0.143,-0.05
3.0167,0.0915,0.1964,-0.009,-0.01
2.5748,0.1603,0.2044,0.103,0.03
3.2292,0.0839,0.1604,-0.089,0.1
3.1354,0.1505,0.1719,-0.031,0.08
3.191,0.1377,0.1269,-0.107,0.05
3.059,0.1016,0.0828,-0.124,-0.05
3.1004,0.179,0.0265,-0.138,0.03
2.2421,0.1401,0.086,0.13,0.02
2.9082,0.0474,0.0329,0.121,0.02
2.8816,0.054,0.0472,0.09,0.19
2.274,0.1416,0.0959,-0.044,0.06
2.4266,0.184,0.0474,0.138,0.01
2.2506,0.1263,0.0911,0.192,-0.03
2.3101,0.2017,0.1129,0.183,-0.01
3.0456,0.0489,0.1736,0.036,0.03
2.7118,0.1053,0.119,0.161,0.03
2.6571,0.1501,0.2264,0.121,-0.02
2.908,0.1129,0.0341,0.112,-0.03
2.4108,0.0669,0.1262,0.139,0.03
3.1376,0.135,0.0243,-0.102,0.05
3.1763,0.216,0.1304,-0.076,0.05
3.1101,0.1394,0.0906,-0.218,0.05
2.7327,0.1586,0.226,0.192,-0.07
2.9747,0.0776,0.1775,0.201,-0.02
3.1595,0.2319,0.2659,-0.08,0.11
3.1391,0.1005,0.2227,-0.066,-0.02
3.0188,0.0937,0.1788,0.032,0.05
2.8443,0.044,0.1063,0.215,0.01
2.5598,0.1645,0.0756,0.108,-0.07
2.5585,0.1542,0.23,0.121,-0.04
3.0672,0.121,0.1576,-0.058,-0.01
2.9667,0.0774,0.1572,0.094,0.01
2.2287,0.1661,0.0807,0.116,-0.02
3.0901,0.1595,0.0167,-0.098,-0.01
3.1692,0.1457,0.0115,-0.169,-0.04
2.8903,0.0627,0.039,0.01,-0.07
2.73,0.181,0.131,-0.008,0.01
3.1031,0.1435,0.0458,-0.129,-0.03
2.8546,0.0462,0.0364,0.116,-0.02
2.7485,0.0998,0.0785,0.125,-0.01
3.1571,0.0806,0.2141,0.027,0.04
3.0553,0.0716,0.1912,0.071,0.06
2.291,0.0301,0.1614,0.148,-0.08
3.1764,0.1658,0.196,-0.035,0.08
2.9746,0.0908,0.1837,-0.021,0.04
3.1002,0.0816,0.1607,-0.004,0.07
3.0084,0.0746,0.1754,0.067,-0.01
2.5384,0.1523,0.0882,0.161,-0.06
2.6588,0.2439,0.1158,-0.057,-0.04
2.6571,0.1501,0.2264,0.107,-0.03
3.0846,0.2012,0.213,-0.067,-0.02
3.0533,0.2417,0.0603,-0.142,-0.04
3.1353,0.1214,0.0204,-0.098,0
2.2421,0.1401,0.086,0.139,-0.08
2.6128,0.1638,0.1885,0.143,-0.1
3.0825,0.0494,0.1624,0.094,0.01
2.9792,0.0894,0.1812,0.054,-0.03
2.2442,0.1908,0.1136,0.201,-0.1
2.6225,0.1661,0.2412,0.156,-0.07
2.6859,0.1759,0.2005,-0.022,0.02
3.2187,0.1302,0.1881,-0.049,0.08
2.5893,0.0903,0.2529,0.099,0.02
3.2292,0.0839,0.1604,-0.085,0.07
3.191,0.1377,0.1269,-0.098,0.04
2.657,0.1739,0.2647,-0.089,0.06
2.2473,0.1312,0.0558,0.192,-0.05
3.1621,0.1183,0.0708,-0.031,0.05
2.5819,0.1548,0.0533,0.161,0.02
3.1811,0.2013,0.023,-0.111,0.11
2.4188,0.0842,0.1351,-0.044,0.05
3.1092,0.1538,0.0302,-0.102,-0.01
3.1692,0.1457,0.0115,-0.174,0.04
2.73,0.181,0.131,-0.062,0.13
2.8546,0.0462,0.0364,0.09,-0.01
3.1869,0.0658,0.0485,-0.058,0.02
3.0248,0.0768,0.1786,0.018,0.07
3.0659,0.0569,0.2,0.018,0.04
3.2126,0.0814,0.2655,-0.107,0.07
3.1984,0.1892,0.2962,-0.12,0.05
2.6609,0.1376,0.2483,0.187,-0.05
2.6336,0.2417,0.2874,0.25,0.04
3.1222,0.1308,0.0812,-0.134,0.05
3.022,0.088,0.181,0.032,0
2.4108,0.0669,0.1262,0.196,-0.04
3.2132,0.1689,0.0197,-0.12,0.06
3.045,0.0341,0.1654,0.174,-0.04
2.891,0.0424,0.0386,0.103,0.01
3.1941,0.0894,0.1132,-0.143,-0.02
3.0553,0.0716,0.1912,-0.013,0.01
2.6732,0.1564,0.2654,-0.174,0.05
3.1438,0.2005,0.1786,-0.058,0.08
2.9861,0.0203,0.2014,-0.151,0.01
2.9853,0.0678,0.1895,0.005,0.01
3.2199,0.1216,0.1724,-0.027,-0.01
3.4148,0.1116,0.2841,-0.08,0.05
3.0947,0.1427,0.1457,-0.022,0.01
2.9119,0.0607,0.1501,0.214,0.1
3.1733,0.0302,0.2168,-0.142,0.08
3.1662,0.0646,0.2398,-0.084,0.07
3.0672,0.121,0.1576,-0.102,0.07
2.8413,0.0491,0.0362,0.152,0
2.437,0.1098,0.1081,0.063,-0.09
3.1729,0.0679,0.1632,-0.031,0
2.5318,0.1177,0.0356,0.134,-0.04
3.1619,0.0901,0.1137,-0.107,0
3.4037,0.0366,0.1112,-0.022,0.06
2.9059,0.046,0.0348,0.071,0.08
3.0587,0.0818,0.1935,0.103,0.03
3.0134,0.0789,0.1792,0.005,-0.01
2.6637,0.1511,0.2138,0.143,-0.01
2.5629,0.1663,0.2319,0.147,0
3.1891,0.1107,0.2954,-0.053,0.09
3.1723,0.1635,0.2391,-0.111,0.08
3.1403,0.1413,0.2541,-0.049,0.09
3.1595,0.2319,0.2659,-0.138,0.14
3.0253,0.069,0.1659,0.001,0.01
2.6336,0.1807,0.1631,-0.169,-0.05
2.5585,0.1542,0.23,0.05,0.01
2.8093,0.0657,0.0592,0.05,0.1
2.5833,0.1427,0.1013,0.036,0.11
2.2723,0.1467,0.091,0.134,-0.07
3.1722,0.017,0.2657,-0.147,0.02
3.0413,0.1059,0.167,0.041,0.14
2.7939,0.0685,0.0614,0.027,-0.05
3.2171,0.1432,0.2616,0.089,-0.1
2.7423,0.0885,0.0845,-0.044,0.02
2.6572,0.1996,0.2411,0.019,-0.02
2.5979,0.1692,0.2179,0.112,0.03
3.0488,0.2152,0.1443,-0.147,0.01
2.9461,0.1806,0.2524,-0.089,0.02
3.1152,0.1953,0.2845,0.192,0.08
2.5848,0.1457,0.2426,-0.031,0.15
2.6171,0.1481,0.2184,0.032,-0.04
3.2176,0.0914,0.2723,-0.026,0.11
2.7085,0.1329,0.2281,0.023,0
3.3831,0.126,0.2596,0.103,0.12
2.6676,0.1493,0.2244,0.179,-0.01
2.637,0.1582,0.2385,0.165,-0.01
2.9932,0.065,0.1721,0.001,0.03
3.06,0.0698,0.1334,-0.062,0.03
2.7026,0.2041,0.1186,-0.009,0
2.5796,0.1253,0.0903,0.152,-0.04
2.3258,0.0782,0.1745,-0.004,0.08
3.1662,0.1714,0.2515,-0.102,0.03
3.4176,0.1703,0.0754,0.099,0.14
2.7914,0.0638,0.0477,0.081,0.03
2.7026,0.1519,0.2292,0.121,-0.07
3.1321,0.1547,0.0261,0.13,0.03
2.5389,0.0747,0.0932,0.147,-0.08
2.7676,0.2444,0.1702,0.152,0.02
3.174,0.142,0.0408,0.014,0.05
3.1105,0.1104,0.0577,0.054,0.11
3.099,0.1696,0.0749,0.068,0.05
3.0536,0.0394,0.1896,0.027,0.04
2.7801,0.1592,0.1637,0.116,-0.11
2.9932,0.073,0.1689,0.085,-0.02
2.6778,0.1457,0.2244,0.147,-0.03
3.3604,0.0289,0.2694,0.01,-0.04
2.6754,0.2349,0.2045,0.086,0
2.668,0.1512,0.2299,0.179,-0.03
3.3534,0.0254,0.2772,-0.084,0.05
2.4552,0.0668,0.2318,0.157,-0.08
2.9229,0.0973,0.2328,-0.071,0.12
2.9671,0.0686,0.1825,0.009,0.07
2.8908,0.1514,0.2394,-0.04,0.07
2.9918,0.0767,0.189,-0.071,-0.03
3.1879,0.0493,0.2495,0.054,0.12
2.99,0.0539,0.2601,-0.044,0.05
2.7141,0.1765,0.2183,0.13,-0.03
3.002,0.1387,0.2806,-0.066,0.01
3.1915,0.1028,0.263,0.014,0.04
2.7925,0.0568,0.214,0.121,0.04
2.1511,0.0975,0.0226,0.17,-0.07
3.0932,0.1487,0.0318,-0.004,0.11
3.1787,0.1619,0.02,-0.08,0.05
2.4313,0.1285,0.05,-0.133,0
2.9282,0.0678,0.0384,0.138,-0.07
3.2007,0.1089,0.1784,-0.102,0.02
3.3821,0.0712,0.146,-0.062,0.04
2.2773,0.1671,0.0919,0.157,-0.06
3.0628,0.0782,0.1742,0.116,0.04
2.4105,0.1446,0.1058,0.068,-0.23
3.2143,0.0329,0.1915,0.201,0.05
3.0391,0.1429,0.2429,0.023,0.03
2.666,0.148,0.2406,0.152,0
3.1181,0.0645,0.0429,-0.003,0.21
3.3386,0.0497,0.0306,0.027,0.17
3.1692,0.1494,0.0205,-0.187,0.09
3.1331,0.1227,0.0254,-0.049,-0.01
2.7253,0.0805,0.0727,-0.08,0.11
2.4299,0.1749,0.0372,0.094,-0.05
3.0112,0.0823,0.2054,0.027,0.14
2.7793,0.1944,0.1362,-0.084,0.08
3.1819,0.1177,0.268,-0.089,0.07
2.9754,0.0648,0.1522,0.085,0.01
3.1193,0.0756,0.194,0.17,0.02
3.1167,0.1172,0.1099,-0.116,0.06
3.0481,0.0633,0.1668,-0.017,0.05
2.9497,0.0358,0.2068,-0.044,0.04
2.9824,0.0196,0.2284,-0.129,-0.01
2.8689,0.0535,0.2183,-0.04,0.12
3.0467,0.0778,0.2732,0.103,-0.02
3.185,0.1016,0.2871,-0.124,0.1
2.8772,0.0409,0.0376,0.139,-0.03
2.2845,0.1565,0.1168,0.183,-0.03
2.3606,0.1261,0.0823,0.098,-0.24
2.4041,0.1802,0.0435,0.125,-0.07
3.1241,0.1243,0.0868,-0.075,-0.09
2.9824,0.1063,0.1969,0.103,0
3.0534,0.0715,0.1806,-0.026,0.06
3.5263,0.0783,0.1872,0.063,0.1
2.6711,0.1912,0.2091,-0.018,0.04
2.3395,0.0931,0.1102,0.187,-0.34
3.2062,0.1718,0.0738,-0.129,0.16
2.9204,0.0726,0.0374,0.143,-0.02
2.6808,0.206,0.1225,-0.138,0.03
3.1184,0.1765,0.0276,-0.062,-0.02
2.3579,0.1476,0.0569,-0.027,0.04
2.4098,0.1517,0.0902,0.21,-0.01
2.5297,0.1467,0.0832,0.188,0.04
2.3773,0.1003,0.0985,0.139,-0.27
2.6769,0.1757,0.2033,-0.102,-0.01
3.0235,0.0729,0.1697,0.098,0
2.6688,0.1548,0.2292,0.063,0.05
2.4426,0.2165,0.2325,0.13,-0.03
2.587,0.0817,0.2529,0.085,0.1
2.619,0.1444,0.2319,0.147,0.03
2.9927,0.1936,0.2398,0.223,0.07
3.1355,0.0467,0.1567,0.027,-0.05
3.208,0.0885,0.0833,-0.085,0.11
3.1563,0.1482,0.0225,-0.133,-0.01
3.0752,0.1957,0.0686,-0.164,-0.02
3.0779,0.0623,0.1618,0.072,0.04
3.0919,0.1303,0.0305,-0.062,-0.04
2.9377,0.0149,0.0396,0.041,-0.14
3.1533,0.173,0.2678,0.036,-0.17
2.8504,0.1041,0.1147,0.085,0.16
2.5473,0.1373,0.232,0.161,0.02
2.722,0.143,0.1581,0.125,-0.01
2.7674,0.1938,0.1368,-0.129,-0.01
2.5779,0.2639,0.2139,0.059,-0.03
2.7936,0.1969,0.139,-0.111,0.09
3.1408,0.204,0.1627,-0.071,0.06
2.6887,0.1413,0.2088,0.099,-0.05
2.9694,0.0776,0.1731,0.067,0.06
2.5457,0.1606,0.2272,0.17,-0.1
3.0722,0.2548,0.2284,-0.111,0.06
2.6851,0.1519,0.2182,0.09,-0.02
3.217,0.0342,0.2498,0.001,0.12
2.6276,0.1503,0.2462,0.139,0.01
3.1918,0.1106,0.2109,0.028,0.14
2.5844,0.1113,0.0881,0.201,-0.01
2.6437,0.0586,0.2459,0.143,0
3.052,0.152,0.2282,0.188,0.02
3.047,0.064,0.0863,-0.008,0.01
2.3787,0.0554,0.0304,0.019,0.15
2.7505,0.1347,0.0864,0.107,-0.07
2.9877,0.0882,0.1734,0.125,-0.02
2.334,0.1782,0.079,2.07,-1.57
3.051,0.0761,0.1538,0.085,0.06
3.1441,0.1669,0.2446,-0.129,0.13
3.0653,0.1712,0.0899,-0.138,-0.05
2.564,0.1904,0.137,0.165,-0.02
2.4008,0.1484,0.2052,0.134,0.04
3.1438,0.1879,0.2759,0.13,0.06
3.3764,0.1424,0.2495,-0.022,0.17
2.7995,0.1253,0.1574,0.112,-0.07
3.051,0.0761,0.1538,0.036,0.05
3.0386,0.0636,0.1595,-0.049,-0.01
2.6018,0.1317,0.2386,0.116,-0.01
3.0396,0.2181,0.1238,0.094,0.04
2.4749,0.1161,0.0911,0.179,-0.32
3.0612,0.0682,0.1642,0.085,0.05
3.0526,0.1164,0.1591,-0.093,0.03
2.5689,0.1461,0.2178,0.161,-0.02
3.009,0.0723,0.1777,-0.013,0.04
2.9327,0.1686,0.1772,-0.013,0.12
2.5398,0.2402,0.1301,1.495,-1.27
2.5908,0.1548,0.2256,0.054,-0.13
2.6053,0.1588,0.2471,0.107,0
2.9696,0.0946,0.1918,0.335,0.01
3.1793,0.1293,0.1525,0.143,0.25
3.2087,0.0636,0.2789,-0.133,-0.02
2.6132,0.2175,0.2226,-0.147,0.04
2.577,0.0368,0.1641,-0.107,0.03
2.5737,0.1372,0.2298,0.085,-0.08
2.6917,0.2304,0.134,-0.107,0.06
2.9678,0.0378,0.1284,0.027,0.15
3.067,0.0757,0.17,0.107,0
2.2528,0.0426,0.1433,0.143,-0.02
3.009,0.0775,0.1709,0.085,0.03
2.5943,0.1335,0.2404,0.143,-0.03
2.6448,0.1766,0.2238,0.112,-0.05
2.7029,0.0707,0.2009,0,0.01
2.7596,0.2309,0.248,-0.093,0.05
2.6717,0.1249,0.2158,0.201,-0.1
2.381,0.149,0.2285,0.094,0.05
3.174,0.0593,0.1598,-0.084,0.04
2.976,0.0813,0.1757,0.027,0.01
2.6761,0.185,0.2373,0.165,0.02
2.8059,0.1377,0.1725,-0.088,0.14
2.4767,0.0853,0.234,0.143,-0.07
3.1283,0.1532,0.1977,0.067,0.03
2.7724,0.1301,0.1593,0.094,-0.01
2.3491,0.0922,0.1157,0.17,-0.31
2.6711,0.1912,0.2091,-0.044,0.07
2.6624,0.1778,0.2351,0.029,-0.01
3.208,0.0885,0.0833,-0.049,0.06
2.571,0.1565,0.0719,0.161,-0.05
2.8511,0.091,0.2269,0,0.08
2.4344,0.183,0.0442,0.165,-0.03
2.2622,0.1526,0.055,0.139,-0.08
3.1561,0.1894,0.0263,-0.08,0.01
2.9405,0.0319,0.0355,0.049,-0.09
2.1364,0.1217,0.0241,0.112,-0.12
2.3088,0.1975,0.0169,0.063,-0.04
2.8504,0.1041,0.1147,0.054,0.12
2.7505,0.1347,0.0864,0.054,-0.08
2.6543,0.0307,0.0913,-0.062,-0.03
3.0653,0.1712,0.0899,-0.12,-0.04
2.5454,0.083,0.1101,0.062,0
2.3224,0.09,0.0864,0.166,-0.14
2.369,0.0661,0.1309,0.103,-0.28
2.9827,0.0819,0.1775,0.005,-0.01
3.0382,0.0694,0.0443,0.08,0
3.0779,0.0623,0.1618,0.089,-0.02
2.878,0.0257,0.0343,0.085,-0.12
3.2073,0.1747,0.0263,-0.174,-0.07
2.644,0.1252,0.097,-0.089,-0.03
3.002,0.1387,0.2806,-0.142,0.16
2.5821,0.2891,0.2193,0.125,0.07
3.0312,0.1284,0.2159,0.054,0.01
2.6234,0.1625,0.2212,0.103,-0.09
2.9532,0.0847,0.18,0.054,-0.1
3.0501,0.1137,0.1574,-0.102,0.13
2.7579,0.092,0.1236,-0.067,-0.03
3.1887,0.1415,0.1958,-0.142,0.05
3.0563,0.1877,0.2331,0.116,-0.06
3.1188,0.0884,0.1966,0.09,0.05
3.1075,0.1586,0.0232,-0.165,-0.02
2.5854,0.1649,0.2208,0.085,-0.01
3.1442,0.1229,0.0917,-0.129,-0.04
2.5301,0.0394,0.072,0.103,0.05
2.8015,0.1289,0.1579,0.147,-0.11
3.0396,0.2181,0.1238,0.143,-0.01
2.572,0.123,0.2615,0.166,-0.03
3.1379,0.1426,0.2762,0.054,0.15
2.5421,0.2318,0.1942,0.13,-0.04
2.6193,0.1523,0.2251,0.125,-0.01
3.0854,0.0602,0.1843,0.081,0.02
2.7076,0.0591,0.2274,0.081,0.02
3.0389,0.1232,0.2383,-0.12,0
2.9898,0.0782,0.17,0.072,0
2.6244,0.1364,0.1351,-0.062,0.04
2.5637,0.1627,0.2375,0.103,-0.07
2.6021,0.1387,0.2602,0.134,-0.05
3.0589,0.0964,0.1746,0.032,-0.01
2.8479,0.0403,0.0409,0.072,0
3.0512,0.1143,0.0194,-0.152,0
2.9722,0.2101,0.1038,0.049,0.08
2.5783,0.0402,0.1568,0.112,-0.07
2.8348,0.046,0.037,0.054,-0.05
2.2764,0.1443,0.103,0.085,-0.05
2.4216,0.1692,0.0488,0.121,-0.12
2.9696,0.0946,0.1918,0.196,0.04
3.1793,0.1293,0.1525,0.108,0.13
3.1351,0.1379,0.1942,-0.036,0.1
2.3548,0.1027,0.1171,0.196,-0.43
2.7139,0.1611,0.2547,-0.107,0.07
2.7493,0.1647,0.1273,-0.075,0
2.994,0.0675,0.1875,0.121,0
3.1178,0.1228,0.1267,-0.035,0.06
2.5572,0.1635,0.1371,0.076,-0.13
3.1918,0.1106,0.2109,0.068,0.08
2.9481,0.1557,0.0515,0.067,-0.06
2.9557,0.0596,0.0404,0.085,-0.07
3.0633,0.0497,0.1427,0.058,-0.02
2.9356,0.0365,0.207,-0.124,0
3.1112,0.1396,0.0931,-0.116,-0.06
3.0599,0.1531,0.0333,-0.129,-0.01
3.2045,0.2047,0.0199,-0.147,0.03
3.0194,0.0628,0.0083,-0.147,0
3.2026,0.1578,0.0214,-0.036,-0.07
2.6023,0.1953,0.0454,0.121,-0.06
2.6895,0.1652,0.2313,0.129,-0.09
2.3846,0.132,0.0927,0.196,-0.08
2.9732,0.0647,0.1702,0.094,-0.01
2.722,0.143,0.1581,0.147,-0.05
2.9678,0.0378,0.1284,-0.075,0.15
2.7329,0.2522,0.1547,-0.093,0.02
2.2291,0.1192,0.079,0.179,-0.06
3.1647,0.0854,0.1705,-0.044,0.04
2.7704,0.0433,0.0844,0,-0.05
2.6396,0.1992,0.038,0.041,-0.04
2.9007,0.0368,0.0411,0.139,-0.03
3.047,0.0628,0.0273,0.023,0.13
2.8453,0.0459,0.037,0.13,-0.05
2.2418,0.0993,0.0606,0.125,-0.05
2.3768,0.0453,0.0638,0.174,-0.09
2.6626,0.1475,0.2203,0.08,-0.09
2.7356,0.0576,0.048,0.116,-0.07
3.0956,0.1505,0.0186,-0.129,-0.13
3.1272,0.1473,0.0268,-0.085,-0.08
2.9924,0.0967,0.2051,0.121,0.12
2.4177,0.1998,0.0511,0.134,-0.06
2.3974,0.1688,0.0404,0.143,-0.12
2.7995,0.1253,0.1574,0.152,-0.04
3.051,0.0761,0.1538,0.103,0.1
2.2525,0.1144,0.1275,0.179,-0.38
2.9712,0.0471,0.1615,0.081,-0.01
3.0386,0.0636,0.1595,0.027,0.03
2.6018,0.1317,0.2386,0.148,0.02
2.4749,0.1161,0.0911,0.094,-0.33
3.0612,0.0682,0.1642,-0.004,0.03
3.0526,0.1164,0.1591,-0.066,0.04
2.5908,0.1548,0.2256,-0.009,-0.09
3.2087,0.0636,0.2789,-0.116,0.03
2.577,0.0368,0.1641,-0.098,0.04
2.5737,0.1372,0.2298,0.107,-0.07
3.2023,0.1296,0.0992,-0.116,0.06
3.017,0.0949,0.1807,0.045,0.04
2.6448,0.1766,0.2238,0.081,-0.03
3.0584,0.0744,0.1978,0.445,0.03
3.0554,0.1274,0.247,-0.013,0.07
3.2205,0.0966,0.1613,-0.053,0.05
3.174,0.0593,0.1598,-0.045,0.09
2.6554,0.1794,0.1713,0.139,-0.03
3.1191,0.1504,0.0946,-0.098,-0.04
2.9881,0.0879,0.1243,-0.022,-0.03
2.2596,0.1724,0.0964,0.09,0.01
3.1335,0.1097,0.2414,-0.133,0.04
3.0584,0.1057,0.1632,0.063,0.05
2.6289,0.0705,0.257,0.143,-0.05
3.0587,0.0508,0.2175,0.116,-0.08
2.6415,0.1663,0.1921,0.107,0.01
3.0312,0.1284,0.2159,0.134,-0.03
2.4767,0.0853,0.234,0.157,-0.02
2.5454,0.083,0.1101,0.108,0
2.369,0.0661,0.1309,0.099,-0.25
3.1887,0.1415,0.1958,-0.076,0.03
3.227,0.1384,0.0319,-0.049,-0.07
3.0382,0.0694,0.0443,0.099,0.04
3.0779,0.0623,0.1618,0.05,0.07
3.1188,0.0884,0.1966,0.05,0.18
2.878,0.0257,0.0343,0.112,-0.05
2.8741,0.0348,0.0465,0.067,0.01
2.1974,0.1161,0.0561,0.13,0.01
2.8015,0.1289,0.1579,0.13,-0.08
3.0396,0.2181,0.1238,0.121,0.1
2.4749,0.1161,0.0911,0.134,-0.31
2.6848,0.2426,0.2125,-0.08,0.02
3.0612,0.0682,0.1642,0.085,0.05
3.3764,0.1424,0.2495,0.023,0.07
2.7855,0.1335,0.16,0.17,-0.01
2.9327,0.1686,0.1772,0.027,0.08
2.5908,0.1548,0.2256,0.067,-0.15
3.002,0.1387,0.2806,-0.124,0.07
2.5421,0.2318,0.1942,0.148,-0.1
2.7155,0.2065,0.2327,0.161,0.04
