ap,ep,sinip,astar,iz
2.8801,0.1047,0.186,0.098,0.04
2.607,0.1472,0.227,0.152,-0.03
3.0163,0.0451,0.1778,-0.018,0.07
3.1679,0.0538,0.1457,0.027,0.23
3.0009,0.0528,0.0375,0.019,-0.06
3.1405,0.0958,0.2752,-0.04,0.04
2.9932,0.065,0.1721,0.027,0.04
2.8381,0.0516,0.0365,0.125,-0.01
2.6627,0.158,0.2236,0.112,0.03
3.3871,0.0368,0.1054,0.045,0.15
2.6225,0.1511,0.2483,0.215,-0.02
2.6129,0.1268,0.2336,0.166,-0.05
3.2047,0.2062,0.2438,0.014,0.08
3.2212,0.1369,0.2253,0.063,0.13
2.5928,0.1443,0.1978,0.125,-0.03
3.1809,0.1093,0.2308,-0.147,-0.03
3.0332,0.1872,0.2064,0.085,0.03
3.0818,0.2553,0.151,-0.129,-0.05
2.5799,0.1691,0.1322,0.125,-0.02
3.0427,0.0663,0.1573,0.076,0.06
2.364,0.0915,0.1176,0.09,-0.21
3.1344,0.1591,0.1991,-0.093,-0.03
2.4352,0.2266,0.1113,0.13,-0.08
3.1708,0.1691,0.0905,-0.107,-0.05
3.1724,0.0562,0.2697,-0.04,0.01
2.6818,0.0501,0.101,0.21,-0.09
3.1686,0.1562,0.1443,-0.133,0.01
3.3943,0.1956,0.1823,-0.013,0.04
2.6698,0.0791,0.0534,0.117,0.05
2.4749,0.1472,0.0355,0.116,-0.06
2.8772,0.0409,0.0376,0.13,-0.05
2.7838,0.1322,0.139,0.188,0.02
3.1801,0.1508,0.0179,-0.102,-0.01
2.2147,0.1414,0.0707,0.223,-0.14
2.9898,0.0849,0.1821,0.089,0.04
2.9897,0.0746,0.1745,0.103,0.03
3.1271,0.1143,0.2818,-0.053,0.07
2.5993,0.0771,0.2572,0.179,-0.01
2.7038,0.1211,0.226,0.143,0.07
3.062,0.1409,0.1073,-0.142,0
3.1812,0.1142,0.0948,-0.147,0.04
3.0774,0.1239,0.0468,-0.098,0.01
3.0708,0.2899,0.1609,0.005,0.21
2.7848,0.0361,0.0479,0.094,0.07
3.1439,0.1927,0.1813,-0.022,0.09
3.0148,0.1373,0.1542,-0.031,0.04
2.7066,0.1274,0.2364,0.17,-0.08
3.1571,0.0516,0.1799,-0.062,0.03
2.5812,0.1333,0.2395,0.121,-0.01
3.0202,0.0963,0.1672,0.045,0.01
2.4496,0.201,0.1254,0.183,-0.01
2.2663,0.1502,0.0865,0.17,0.03
2.38,0.1823,0.041,0.152,-0.03
2.7703,0.1812,0.1632,0.103,0.05
2.689,0.1545,0.2173,0.13,-0.08
3.1949,0.2034,0.0282,-0.116,0.1
2.9877,0.0882,0.1734,0.045,0.03
3.0965,0.0544,0.1584,0.053,-0.02
2.9963,0.0794,0.1771,0.067,0.09
3.1275,0.0442,0.1568,0.067,0.04
2.3543,0.0834,0.1166,0.165,-0.2
3.1569,0.1852,0.189,-0.053,0.04
2.8429,0.0501,0.0368,0.076,-0.01
2.8985,0.0472,0.0368,0.116,0
3.047,0.0628,0.0273,-0.062,-0.16
3.3851,0.1362,0.1428,-0.115,0.05
3.1378,0.151,0.0158,-0.12,0.09
2.7397,0.0556,0.0153,0.099,0
2.5432,0.0882,0.0507,-0.04,0.09
2.3886,0.1866,0.0623,0.21,0
2.6172,0.2056,0.2136,-0.004,0.09
2.6342,0.1244,0.2268,0.187,0
3.0913,0.071,0.2634,0.107,-0.16
2.6092,0.1496,0.2397,0.174,0.04
2.574,0.1625,0.2476,0.174,-0.03
3.2153,0.066,0.2391,-0.12,-0.06
2.3822,0.1894,0.0665,0.165,-0.04
2.6395,0.1747,0.2151,0.17,-0.03
2.8872,0.1229,0.1015,0.286,-0.14
2.2647,0.1148,0.0509,0.201,-0.08
3.1288,0.1298,0.1261,-0.026,0.13
3.0915,0.1591,0.0352,-0.058,-0.05
3.0953,0.1409,0.0902,-0.134,0.04
2.3254,0.1607,0.0375,-0.031,0.06
3.162,0.26,0.0255,-0.116,-0.1
2.5428,0.1574,0.2169,0.148,-0.02
2.4229,0.125,0.1028,0.148,-0.26
3.1492,0.0987,0.0919,0.076,0.08
